idquestao	conteudo1	conteudo2	conteudo3
9	Outros		
10	Outros		
11	Outros		
12	Matemática e estatística	Física e ciência dos materiais	
13	Física e ciência dos materiais	Outros	
14	Outros		
15	Matemática e estatística	Outros	
16	Outros		
17	Matemática e estatística		
18	Outros	Matemática e estatística	Física e ciência dos materiais
19	Matemática discreta e teoria dos grafos		
20	Teoria da computação		
21	Sistemas digitais e sistemas embarcados		
22	Arquitetura de computadores e sistemas operacionais		
23	Análise de dados e processamento de sinais		
24	Inteligência artificial		
25	Redes de computadores e sistemas distribuídos		
26	Fundamentos de programação	Automação industrial e sistemas de controle	
27	Sistemas digitais e sistemas embarcados		
28	Pesquisa operacional e otimização		
29	Redes de computadores e sistemas distribuídos		
30	Ética, empreendedorismo, computador e sociedade		
31	Engenharia de software, IHC e banco de dados		
32	Computação gráfica		
33	Engenharia de software, IHC e banco de dados		
34	Engenharia de software, IHC e banco de dados		
35	Matemática discreta e teoria dos grafos	Redes de computadores e sistemas distribuídos	
