idquestao	conteudo1	conteudo2	conteudo3
9	Fundamentos de programação		
10	Inteligência artificial		
11	Matemática discreta e teoria dos grafos		
12	Pesquisa operacional e otimização		
13	Automação industrial e sistemas de controle		
14	Análise de dados e processamento de sinais		
15	Matemática e estatística		
16	Circuitos elétricos e eletrônicos		
17	Circuitos elétricos e eletrônicos		
18	Redes de computadores e sistemas distribuídos	Segurança de sistemas de computação	
19	Arquitetura de computadores e sistemas operacionais		
20	Engenharia de software, IHC e banco de dados		
21	Engenharia de software, IHC e banco de dados		
22	Inteligência artificial		
23	Teoria da computação		
24	Redes de computadores e sistemas distribuídos	Matemática discreta e teoria dos grafos	
25	Fundamentos de programação		
26	Automação industrial e sistemas de controle		
27	Engenharia de software, IHC e banco de dados		
28	Sistemas digitais e sistemas embarcados		
29	Redes de computadores e sistemas distribuídos		
30	Redes de computadores e sistemas distribuídos		
31	Arquitetura de computadores e sistemas operacionais		
32	Matemática e estatística	Análise de dados e processamento de sinais	
33	Física e ciência dos materiais	Circuitos elétricos e eletrônicos	
34	Arquitetura de computadores e sistemas operacionais		
35	Engenharia de software, IHC e banco de dados		
